,AvgPriceperBottle,MarginPerBottle,PricePerLiter,R^2Score,TotalBottlesSold,TotalSales,Zip Code
240,13.0182154882,4.35023569024,10.8729038294,0.988555063798,1493,19639.4,51346
241,13.2221212121,4.42121212121,11.8865198238,0.944000284497,314,4047.36,51347
242,15.2013487882,5.07464699684,13.6156055916,0.706786198859,10956,153328.33,51351
243,12.898,4.30125,14.9297105494,0.743252748267,309,3744.67,51355
244,13.8045652174,4.60847826087,10.5667851852,0.702026878501,294,3566.29,51358
245,15.4718143204,5.16940533981,13.3912822449,0.687652501857,17136,241553.69,51360
246,14.7239471903,4.92048747461,13.3841220613,0.909168797499,18680,279214.87,51401
247,14.239032967,4.75879120879,11.5080790867,0.977511615342,10788,143568.12,51442
248,12.5554716981,4.19433962264,14.8852392087,0.829825668072,337,4010.53,51443
249,15.0773248408,5.04267515924,12.108336915,0.958125070092,3346,46483.3,51445
250,13.806350365,4.62051094891,11.5328992629,0.836760441267,1120,14081.67,51449
251,15.1740721649,5.07582474227,12.4684971849,0.522557351327,1719,21592.32,51450
252,11.3733333333,3.79333333333,15.5,1.0,12,139.5,51453
253,14.9879847909,5.00673003802,13.9642395708,0.68014555305,946,12753.54,51455
254,17.3986057692,5.80745192308,14.4693494898,0.919892095211,682,11343.97,51461
255,10.4992,3.5012,12.2578795054,0.86255464282,241,2329.61,51462
256,13.2185714286,4.43142857143,17.0006779661,0.997448611153,177,2256.84,51466
257,13.7470227859,4.58997850387,15.4609047512,0.698812968655,53873,712179.83,51501
258,14.8233027794,4.95157599054,14.2431110339,0.846346808082,33631,479608.99,51503
259,11.2185454545,3.74145454545,13.9217376255,0.520741336489,1890,12065.97,51510
260,14.9533260394,4.99008752735,14.2357169657,0.754304267098,3143,42874.99,51521
261,12.7403846154,4.26692307692,16.6474165894,0.798205583413,246,2874.01,51526
262,11.5033333333,3.83666666667,18.137254902,1.0,8,92.5,51530
263,14.1198873239,4.718,12.2491240613,0.48084400631,3439,39749.51,51534
264,14.248,4.75,12.1973913043,0.902689660869,36,420.81,51535
265,13.8949016641,4.64231467474,11.950128994,0.912990578644,7446,101395.53,51537
266,12.0962135922,4.04708737864,11.0487119844,0.80614483883,757,8929.79,51546
267,8.538,2.84766666667,11.6852173913,0.889044326614,468,3225.12,51551
268,13.2088888889,4.43333333333,16.4177932042,0.915041063335,72,898.71,51553
269,13.3707012195,4.46678353659,12.716074139,0.617292129811,2701,29740.99,51555
270,11.1912698413,3.74206349206,13.5793125793,0.926519919093,431,5029.37,51559
271,13.9618823529,4.65909803922,13.5737501324,0.595370555007,1289,14099.19,51560
272,16.6659016393,5.56163934426,14.3854950765,0.155919335252,1211,12403.03,51561
273,15.3326196474,5.12102015113,13.0075779147,0.877240374155,5967,76745.23,51566
274,14.26125,4.765,14.5460877204,0.520476544338,206,2318.21,51575
275,13.7825,4.60057692308,15.2937603534,0.809803973619,479,5539.4,51577
276,12.6663870968,4.23090322581,14.4531715586,0.808462562441,667,8100.28,51579
277,13.9397168405,4.65837555887,13.4355199631,0.86439909232,6325,83817.76,51601
278,14.9521666667,4.998125,14.1448459687,0.700099611622,4390,59488.13,51632
279,10.2611111111,3.43148148148,14.2877045555,0.89223314906,371,3230.45,51640
280,14.9866855941,5.00645215563,14.4903346399,0.704734499002,48743,651576.01,52001
281,15.1998372661,5.08082180635,12.1864506852,0.834794096497,16450,231788.12,52002
282,16.566745435,5.53319011815,14.2316987478,0.586188018705,6944,95798.83,52003
283,14.197605042,4.74865546218,13.0082983001,0.733720161122,2252,28467.36,52031
284,13.4096,4.48853333333,11.6659645064,0.840647369282,1491,19161.93,52033
285,14.1915789474,4.76210526316,12.5981560284,0.758011401211,286,3552.68,52036
286,12.1386206897,4.05551724138,13.1243028876,0.45588594681,234,2118.0,52037
287,14.0916446125,4.71109640832,11.4683828455,0.955254094936,4464,60948.95,52040
288,13.5218604651,4.51825581395,11.5107471264,0.842435627804,454,6008.61,52042
289,13.8709090909,4.65239669421,11.3447046295,0.92502338555,742,9481.11,52043
290,9.23793103448,3.08103448276,10.3094610778,0.805226146123,312,2582.52,52046
291,15.9339772727,5.31852272727,14.1492485208,0.848363766635,2162,31208.29,52052
292,13.3465,4.46433333333,12.5100580403,0.909658268792,698,9160.49,52053
293,15.0544,5.04141818182,12.3742154134,0.892674835638,3180,44909.74,52057
294,13.5865878645,4.53842395587,12.0140637819,0.95028721051,9180,118468.16,52060
295,11.8546428571,3.95964285714,15.5320766718,0.857188845855,474,5372.39,52068
296,13.9770689655,4.66913793103,10.4673539519,0.895775024806,536,6853.5,52076
297,11.5565384615,3.86653846154,12.6541934631,0.580843225501,617,5745.51,52079
